Invoice,Sold to Party,Sold to Party Name,Sales Org
50125166276,1733212,SCHL 5039,A20
50125166283,1733212,SCHL 5039,A20
50125166529,1733600,JABI 4501,A20
50125169539,1733212,SCHL 5039,A20
50125169933,1733466,AMAZ 7577,A20
50125171181,1733212,SCHL 5039,A20
50125173740,1733102,SCHL 5161,A20
50125174494,1733215,SIEM 0766,A20
50125175835,1733215,SIEM 0766,A20
50125177195,1733212,SCHL 5039,A20
50125177197,1733212,SCHL 5039,A20
50125180263,1733048,HYPE 6588,A20
50125180502,1733048,HYPE 6588,A20
50125183829,1733600,JABI 4501,A20
50125184600,1733212,SCHL 5039,A20
50125185101,1733212,SCHL 5039,A20
50125185103,1733212,SCHL 5039,A20
50125188339,1176121,BAKE 5121,A20
50125193959,1049716,FORD 5716,A20
50125198525,1733215,SIEM 0766,A20
50125200681,1733422,TEXA 2921,A20
50125200687,1733422,TEXA 2921,A20
50125208479,1733102,SCHL 5161,A20
50125208488,1733048,HYPE 6588,A20
50125211127,1297839,LUME 7839,A10
50125211138,1733212,SCHL 5039,A20
50125211722,1733212,SCHL 5039,A20
50125211724,1733212,SCHL 5039,A20
50125211740,1733048,HYPE 6588,A20
50125211745,1733048,HYPE 6588,A20
50125213313,1733422,TEXA 2921,A20
50125213755,1733215,SIEM 0766,A20
50125224149,1733102,SCHL 5161,A20
50125226891,1176121,BAKE 5121,A20
50125227599,1733212,SCHL 5039,A20
50125227640,1733215,SIEM 0766,A20
50125227641,1176121,BAKE 5121,A20
50125241526,1733212,SCHL 5039,A20
50125241933,1297839,LUME 7839,A10
50125242023,1733212,SCHL 5039,A20
50125243434,1733048,HYPE 6588,A20
50125246882,1733378,Inno 7355,A20
50125246893,1733378,Inno 7355,A20
50125248163,1733215,SIEM 0766,A20
50125250292,1176121,BAKE 5121,A20
50125255873,1733215,SIEM 0766,A20
50125255903,1733212,SCHL 5039,A20
50125271423,1053549,GE V 8549,A20
50125271426,1053549,GE V 8549,A20
50125271916,1053549,GE V 8549,A20
50125275117,1733048,HYPE 6588,A20
50125285471,1733289,UNIV 0114,A20
50125285490,1733644,NASA 5671,A20
50125290194,1220166,INTU 0166,A20
50125293520,1733212,SCHL 5039,A20
50125293522,1733212,SCHL 5039,A20
50125294287,1733511,TEXA 3018,A20
50125297042,1733212,SCHL 5039,A20
50125299030,1733422,TEXA 2921,A20
50125299035,1733422,TEXA 2921,A20
50125306129,1733201,SCHL 5055,A20
50125307554,1733422,TEXA 2921,A20
50125307563,1733422,TEXA 2921,A20
50125308957,1733289,UNIV 0114,A20
50125309022,1733212,SCHL 5039,A20
50125309148,1733215,SIEM 0766,A20
50125309726,1733048,HYPE 6588,A20
50125311421,1733289,UNIV 0114,A20
50125311557,1733212,SCHL 5039,A20
50125312137,1733422,TEXA 2921,A20
50125312645,1733215,SIEM 0766,A20
50125315940,1176121,BAKE 5121,A20
50125317170,1297839,LUME 7839,A10
50125318467,1733212,SCHL 5039,A20
50125321598,1297839,LUME 7839,A10
50125324685,1733212,SCHL 5039,A20
50125324686,1733048,HYPE 6588,A20
50125325828,1733212,SCHL 5039,A20
50125326738,1297839,LUME 7839,A10
50125330192,1297839,LUME 7839,A10
50125337347,1733688,NEWA 6901,A20
50125337828,1733212,SCHL 5039,A20
50125346921,1733201,SCHL 5055,A20
50125347601,1733212,SCHL 5039,A20
50125347602,1733212,SCHL 5039,A20
50125347605,1733212,SCHL 5039,A20
50125347709,1733215,SIEM 0766,A20
50125349550,1733212,SCHL 5039,A20
50125350005,1733215,SIEM 0766,A20
50125351059,1220166,INTU 0166,A20
50125351475,1733215,SIEM 0766,A20
50125353275,1733215,SIEM 0766,A20
50125354802,1733733,WAYM 9911,A20
50125355717,1733201,SCHL 5055,A20
50125356391,1733201,SCHL 5055,A20
50125356462,1733215,SIEM 0766,A20
50125356466,1733215,SIEM 0766,A20
50125358933,1733777,LIGH 9951,A20
50125360526,1297839,LUME 7839,A10
50125361567,1733212,SCHL 5039,A20
50125362224,1733289,UNIV 0114,A20
50125363709,1733422,TEXA 2921,A20
50125363713,1733048,HYPE 6588,A20
50125363732,1733212,SCHL 5039,A20
50125364510,1733048,HYPE 6588,A20
50125366159,1733212,SCHL 5039,A20
50125370723,1220166,INTU 0166,A20
50125372408,1733212,SCHL 5039,A20
50125375115,1733102,SCHL 5161,A20
50125375117,1733102,SCHL 5161,A20
50125375677,1297839,LUME 7839,A10
50125377828,1733201,SCHL 5055,A20
50125378308,1733102,SCHL 5161,A20
50125378309,1733102,SCHL 5161,A20
50125379560,1733212,SCHL 5039,A20
50125379563,1733212,SCHL 5039,A20
50125379631,1733422,TEXA 2921,A20
50125380405,1733422,TEXA 2921,A20
50125381863,1733212,SCHL 5039,A20
50125381864,1733212,SCHL 5039,A20
50125385495,1733212,SCHL 5039,A20
50125388773,1220166,INTU 0166,A20
50125389512,1733511,TEXA 3018,A20
50125390450,1733212,SCHL 5039,A20
50125390452,1733212,SCHL 5039,A20
50125392037,1733102,SCHL 5161,A20
50125395155,1176121,BAKE 5121,A20
50125395685,1733102,SCHL 5161,A20
50125395687,1733102,SCHL 5161,A20
50125398895,1733102,SCHL 5161,A20
50125398896,1733102,SCHL 5161,A20
50125399149,1913708,AURI 3708,A20
50125400006,1733378,Inno 7355,A20
50125401246,1733212,SCHL 5039,A20
50125402228,1176121,BAKE 5121,A20
50125403700,1733215,SIEM 0766,A20
50125407400,1220166,INTU 0166,A20
50125407987,1733822,GE V 8307,A10
50125411292,1297839,LUME 7839,A10
50125411299,1733102,SCHL 5161,A20
50125412823,1733102,SCHL 5161,A20
50125417862,1733212,SCHL 5039,A20
50125417865,1733212,SCHL 5039,A20
50125417868,1733212,SCHL 5039,A20
50125418564,1297839,LUME 7839,A10
50125419365,1733212,SCHL 5039,A20
50125419369,1733212,SCHL 5039,A20
50125420288,1733511,TEXA 3018,A20
50125428854,1220166,INTU 0166,A20
50125429766,1297839,LUME 7839,A10
50125430623,1733201,SCHL 5055,A20
50125430663,1733102,SCHL 5161,A20
50125431571,1733466,AMAZ 7577,A20
50125431639,1733733,WAYM 9911,A20
50125433245,1733102,SCHL 5161,A20
50125435316,1733422,TEXA 2921,A20
50125437884,1733378,Inno 7355,A20
50125438213,1297839,LUME 7839,A10
50125443070,1297839,LUME 7839,A10
50125444473,1733378,Inno 7355,A20
50125446565,1733212,SCHL 5039,A20
50125447821,1733201,SCHL 5055,A20
50125447825,1733201,SCHL 5055,A20
50125447927,1733215,SIEM 0766,A20
50125447929,1733215,SIEM 0766,A20
50125451230,1297839,LUME 7839,A10
50125453696,1733212,SCHL 5039,A20
50125453828,1733048,HYPE 6588,A20
50125454617,1733733,WAYM 9911,A20
50125455688,1733215,SIEM 0766,A20
50125457831,1733215,SIEM 0766,A20
50125460319,1733048,HYPE 6588,A20
50125460333,1733201,SCHL 5055,A20
50125460971,1733466,AMAZ 7577,A20
50125461092,1913708,AURI 3708,A30
50125461237,1733212,SCHL 5039,A20
50125462654,1733422,TEXA 2921,A20
50125462825,1733466,AMAZ 7577,A20
50125462912,1733201,SCHL 5055,A20
50125465679,1733866,JOHN 1731,A20
50125466091,1733212,SCHL 5039,A20
50125468495,1733201,SCHL 5055,A20
50125468832,1733466,AMAZ 7577,A20
50125471636,1733102,SCHL 5161,A20
50125471639,1733102,SCHL 5161,A20
50125472600,1733289,UNIV 0114,A20
50125472970,1733201,SCHL 5055,A20
50125473313,1220166,INTU 0166,A20
50125473683,1733289,UNIV 0114,A20
50125474244,1733466,AMAZ 7577,A20
50125474744,1733102,SCHL 5161,A20
50125477050,1297839,LUME 7839,A10
50125482199,1733466,AMAZ 7577,A20
50125484428,1733212,SCHL 5039,A20
50125484748,1733466,AMAZ 7577,A20
50125486048,1733466,AMAZ 7577,A20
50125487161,1733201,SCHL 5055,A20
50125488479,1733201,SCHL 5055,A20
50125488874,1733212,SCHL 5039,A20
50125491621,1733102,SCHL 5161,A20
50125492822,1733212,SCHL 5039,A20
50125495501,1733048,HYPE 6588,A20
50125497753,1733466,AMAZ 7577,A20
50125497938,1733102,SCHL 5161,A20
50125498533,1733201,SCHL 5055,A20
50125498635,1733866,JOHN 1731,A20
50125501974,1733212,SCHL 5039,A20
50125502828,1733212,SCHL 5039,A20
50125503424,1733201,SCHL 5055,A20
50125504569,1733212,SCHL 5039,A20
50125505369,1733201,SCHL 5055,A20
50125508824,1733866,JOHN 1731,A20
50125509994,1733466,AMAZ 7577,A20
50125517113,1176121,BAKE 5121,A20
50125517115,1176121,BAKE 5121,A20
50125517117,1176121,BAKE 5121,A20
50125517120,1176121,BAKE 5121,A20
50125517123,1176121,BAKE 5121,A20
50125517126,1176121,BAKE 5121,A20
50125519817,1733212,SCHL 5039,A20
50125523491,1733866,JOHN 1731,A20
50125523493,1733866,JOHN 1731,A20
50125524973,1176121,BAKE 5121,A20
50125524977,1176121,BAKE 5121,A20
50125527347,1176121,BAKE 5121,A20
50125527443,1733466,AMAZ 7577,A20
50125531649,1733511,TEXA 3018,A20
50125534610,1733733,WAYM 9911,A20
50125537556,1176121,BAKE 5121,A20
50125537602,1733201,SCHL 5055,A20
50125538254,1220166,INTU 0166,A20
50125540455,1733212,SCHL 5039,A20
50125550589,1733910,JABI 8891,A20
50125551111,1733048,HYPE 6588,A20
50125551587,1176121,BAKE 5121,A20
50125553039,1733212,SCHL 5039,A20
50125554778,1733212,SCHL 5039,A20
50125555844,1733212,SCHL 5039,A20
50125555847,1733212,SCHL 5039,A20
50125555848,1733212,SCHL 5039,A20
50125557626,1733048,HYPE 6588,A20
50125559889,1733422,TEXA 2921,A20
50125563027,1704101,MOLE 4101,A20
50125563548,1220166,INTU 0166,A20
50125563590,1704101,MOLE 4101,A20
50125565066,1733201,SCHL 5055,A20
50125565069,1733201,SCHL 5055,A20
50125565764,1176121,BAKE 5121,A20
50125566429,1297839,LUME 7839,A10
50125567305,1733201,SCHL 5055,A20
50125573379,1733212,SCHL 5039,A20
50125573385,1176121,BAKE 5121,A20
50125573387,1176121,BAKE 5121,A20
50125574062,1733289,UNIV 0114,A20
50125577262,1176121,BAKE 5121,A20
50125577264,1176121,BAKE 5121,A20
50125577393,1704101,MOLE 4101,A20
50125578452,1220166,INTU 0166,A20
50125578511,1733422,TEXA 2921,A20
50125578544,1733212,SCHL 5039,A20
50125581748,1297839,LUME 7839,A10
50125582591,1704101,MOLE 4101,A20
50125587314,1297839,LUME 7839,A10
50125589147,1733289,UNIV 0114,A20
50125590460,1733422,TEXA 2921,A20
50125590462,1733422,TEXA 2921,A20
50125590463,1733422,TEXA 2921,A20
50125590464,1733422,TEXA 2921,A20
50125590484,1733212,SCHL 5039,A20
50125595307,1733212,SCHL 5039,A20
50125595663,1733955,MAHL 2912,A20
50125597154,1704101,MOLE 4101,A20
50125597158,1704101,MOLE 4101,A20
50125601967,1704101,MOLE 4101,A20
50125603090,1220166,INTU 0166,A20
50125606923,1297839,LUME 7839,A10
50125607244,1733212,SCHL 5039,A20
50125611229,1733212,SCHL 5039,A20
50125611352,1733212,SCHL 5039,A20
50125612333,1733215,SIEM 0766,A20
50125612335,1733215,SIEM 0766,A20
50125613338,1733201,SCHL 5055,A20
50125616814,1733422,TEXA 2921,A20
50125617225,1733466,AMAZ 7577,A20
50125620825,1733212,SCHL 5039,A20
50125621369,1704101,MOLE 4101,A20
50125622758,1704101,MOLE 4101,A20
50125623431,1733289,UNIV 0114,A20
50125623508,1733212,SCHL 5039,A20
50125623547,1733215,SIEM 0766,A20
50125625481,1733466,AMAZ 7577,A20
50125627053,1733201,SCHL 5055,A20
50125627944,1733215,SIEM 0766,A20
50125629753,1733102,SCHL 5161,A20
50125630237,1733048,HYPE 6588,A20
50125630992,1733212,SCHL 5039,A20
50125631655,1704101,MOLE 4101,A20
50125634166,1704101,MOLE 4101,A20
50125634170,1704101,MOLE 4101,A20
50125636700,1733466,AMAZ 7577,A20
50125637248,1733466,AMAZ 7577,A20
50125639279,1733212,SCHL 5039,A20
50125639578,1733215,SIEM 0766,A20
50125640171,1733910,JABI 8891,A20
50125643426,1733048,HYPE 6588,A20
50125643705,1733378,Inno 7355,A20
50125643849,1704101,MOLE 4101,A20
50125644359,1733212,SCHL 5039,A20
50125644361,1733212,SCHL 5039,A20
50125645082,1733289,UNIV 0114,A20
50125645212,1704101,MOLE 4101,A20
50125647150,1733102,SCHL 5161,A20
50125648351,1220166,INTU 0166,A20
50125649496,1733910,JABI 8891,A20
50125652412,1704101,MOLE 4101,A20
50125652423,1733212,SCHL 5039,A20
50125652425,1733212,SCHL 5039,A20
50125652428,1733102,SCHL 5161,A20
50125652845,1733289,UNIV 0114,A20
50125653637,1704101,MOLE 4101,A20
50125654033,1733201,SCHL 5055,A20
50125654576,1733822,GE V 8307,A10
50125655956,1733212,SCHL 5039,A20
50125655957,1704101,MOLE 4101,A20
50125657661,1733212,SCHL 5039,A20
50125658041,1733201,SCHL 5055,A20
50125658404,1733102,SCHL 5161,A20
50125659893,1733212,SCHL 5039,A20
50125660974,1176121,BAKE 5121,A20
50125660975,1176121,BAKE 5121,A20
50125661699,1733048,HYPE 6588,A20
50125665573,1733212,SCHL 5039,A20
50125665636,1733422,TEXA 2921,A20
50125667668,1733422,TEXA 2921,A20
50125667758,1704101,MOLE 4101,A20
50125670027,1176121,BAKE 5121,A20
50125674843,1220166,INTU 0166,A20
50125675038,1733289,UNIV 0114,A20
50125675336,1733048,HYPE 6588,A20
50125676813,1733212,SCHL 5039,A20
50125678574,1704101,MOLE 4101,A20
50125679676,1733212,SCHL 5039,A20
50125681251,1704101,MOLE 4101,A20
50125681253,1704101,MOLE 4101,A20
50125683155,1733999,D-WA 0892,A10
50125683532,1704101,MOLE 4101,A20
50125683535,1704101,MOLE 4101,A20
50125685744,1297839,LUME 7839,A10
50125686742,1733048,HYPE 6588,A20
50125688475,1297839,LUME 7839,A10
50125688508,1733212,SCHL 5039,A20
50125688948,1733212,SCHL 5039,A20
50125688950,1733212,SCHL 5039,A20
50125689013,1704101,MOLE 4101,A20
50125690729,1733466,AMAZ 7577,A20
50125690902,1733212,SCHL 5039,A20
50125694360,1733466,AMAZ 7577,A20
50125695264,1704101,MOLE 4101,A20
50125695266,1704101,MOLE 4101,A20
50125695270,1733212,SCHL 5039,A20
50125695339,1733212,SCHL 5039,A20
50125697113,1733466,AMAZ 7577,A20
50125697432,1733466,AMAZ 7577,A20
50125698395,1704101,MOLE 4101,A20
50125703136,1733102,SCHL 5161,A20
50125703883,1733212,SCHL 5039,A20
50125703886,1733212,SCHL 5039,A20
50125706463,1733201,SCHL 5055,A20
50125708016,1704101,MOLE 4101,A20
50125708022,1704101,MOLE 4101,A20
50125708966,1733212,SCHL 5039,A20
50125709616,1704101,MOLE 4101,A20
50125710904,1220166,INTU 0166,A20
50125711530,1733215,SIEM 0766,A20
50125713098,1704101,MOLE 4101,A20
50125713100,1704101,MOLE 4101,A20
50125713142,1733215,SIEM 0766,A20
50125717066,1913708,AURI 3708,A20
50125717491,1704101,MOLE 4101,A20
50125717494,1704101,MOLE 4101,A20
50125717496,1704101,MOLE 4101,A20
50125718156,1704101,MOLE 4101,A20
50125718467,1704101,MOLE 4101,A20
50125718482,1733212,SCHL 5039,A20
50125721487,1704101,MOLE 4101,A20
50125721491,1704101,MOLE 4101,A20
50125721494,1704101,MOLE 4101,A20
50125723520,1704101,MOLE 4101,A20
50125723523,1704101,MOLE 4101,A20
50125723581,1913708,AURI 3708,A20
50125725061,1704101,MOLE 4101,A20
50125726656,1733212,SCHL 5039,A20
50125726658,1733212,SCHL 5039,A20
50125726692,1704101,MOLE 4101,A20
50125727072,1733212,SCHL 5039,A20
50125727564,1733212,SCHL 5039,A20
50125727590,1733048,HYPE 6588,A20
50125727691,1733102,SCHL 5161,A20
50125729229,1733201,SCHL 5055,A20
50125729247,1704101,MOLE 4101,A20
50125729465,1733212,SCHL 5039,A20
50125729469,1733212,SCHL 5039,A20
50125729478,1733048,HYPE 6588,A20
50125729480,1733048,HYPE 6588,A20
50125731981,1704101,MOLE 4101,A20
50125733064,1733201,SCHL 5055,A20
50125733069,1733201,SCHL 5055,A20
50125734215,1297839,LUME 7839,A10
50125734362,1733201,SCHL 5055,A20
50125734776,1733289,UNIV 0114,A20
50125736304,1733212,SCHL 5039,A20
50125736319,1733422,TEXA 2921,A20
50125736783,1733215,SIEM 0766,A20
50125737540,1733212,SCHL 5039,A20
50125739764,1297839,LUME 7839,A10
50125739765,1297839,LUME 7839,A10
50125740791,1733866,JOHN 1731,A20
50125740793,1733866,JOHN 1731,A20
50125740795,1733866,JOHN 1731,A20
50125741080,1733048,HYPE 6588,A20
50125744118,1733866,JOHN 1731,A20
50125744544,1913708,AURI 3708,A20
50125745311,1913708,AURI 3708,A20
50125745312,1913708,AURI 3708,A20
50125746714,1220166,INTU 0166,A20
50125747323,1733215,SIEM 0766,A20
50125747325,1733215,SIEM 0766,A20
50125747326,1733215,SIEM 0766,A20
50125747327,1733215,SIEM 0766,A20
50125748182,1733866,JOHN 1731,A20
50125750458,1704101,MOLE 4101,A20
50125753349,1733600,JABI 4501,A20
50125756160,1704101,MOLE 4101,A20
50125756881,1733212,SCHL 5039,A20
50125757604,1733212,SCHL 5039,A20
50125759622,1733201,SCHL 5055,A20
50125762229,1053549,GE V 8549,A20
50125764057,1733212,SCHL 5039,A20
50125766472,1733212,SCHL 5039,A20
50125766632,1733866,JOHN 1731,A20
50125769330,1391333,BLUE 1333,A20
50125769353,1733212,SCHL 5039,A20
50125770029,1733048,HYPE 6588,A20
50125770252,1733866,JOHN 1731,A20
50125770649,1704101,MOLE 4101,A20
50125772612,1704101,MOLE 4101,A20
50125773089,1733201,SCHL 5055,A20
50125776556,1417746,IBM  7746,A10
50125776636,1733378,Inno 7355,A20
50125780468,1220166,INTU 0166,A20
50125781129,1220166,INTU 0166,A20
50125783001,1733212,SCHL 5039,A20
50125783002,1733212,SCHL 5039,A20
50125784553,1733212,SCHL 5039,A20
50125790213,1733466,AMAZ 7577,A20
50125790270,1733212,SCHL 5039,A20
50125790279,1733102,SCHL 5161,A20
50125790617,1176121,BAKE 5121,A20
50125791445,1733466,AMAZ 7577,A20
50125792502,1733422,TEXA 2921,A20
50125795497,1049716,FORD 5716,A20
50125796117,1733102,SCHL 5161,A20
50125796118,1733102,SCHL 5161,A20
50125796967,1733422,TEXA 2921,A20
50125797032,1733212,SCHL 5039,A20
50125797034,1733212,SCHL 5039,A20
50125797040,1176121,BAKE 5121,A20
50125797050,1733048,HYPE 6588,A20
50125798914,1049716,FORD 5716,A20
50125799700,1733422,TEXA 2921,A20
50125799704,1733422,TEXA 2921,A20
50125799710,1733212,SCHL 5039,A20
50125800323,1176121,BAKE 5121,A20
50125800327,1176121,BAKE 5121,A20
50125800329,1176121,BAKE 5121,A20
50125800742,1733289,UNIV 0114,A20
50125801394,1733289,UNIV 0114,A20
50125802091,1049716,FORD 5716,A20
50125802125,1593948,KGS  5500,A20
50125802697,1053549,GE V 8549,A20
50125802807,1049716,FORD 5716,A20
50125803049,1733212,SCHL 5039,A20
50125804866,1733102,SCHL 5161,A20
50125804982,1733212,SCHL 5039,A20
50125805619,1733201,SCHL 5055,A20
50125808631,1704101,MOLE 4101,A20
50125810045,1733289,UNIV 0114,A20
50125812192,1733212,SCHL 5039,A20
50125814328,1733215,SIEM 0766,A20
50125814331,1733215,SIEM 0766,A20
50125814333,1733215,SIEM 0766,A20
50125816867,1704101,MOLE 4101,A20
50125816970,1733048,HYPE 6588,A20
50125818456,1733212,SCHL 5039,A20
50125819224,1733212,SCHL 5039,A20
50125819599,1220166,INTU 0166,A20
50125822224,1733212,SCHL 5039,A20
50125822768,1733289,UNIV 0114,A20
50125825529,1733212,SCHL 5039,A20
50125826305,1391333,BLUE 1333,A20
50125826434,1733212,SCHL 5039,A20
50125827127,1733378,Inno 7355,A20
50125828201,1733212,SCHL 5039,A20
50125828205,1733212,SCHL 5039,A20
50125828206,1733212,SCHL 5039,A20
50125828208,1733212,SCHL 5039,A20
50125829059,1176121,BAKE 5121,A20
50125830310,1733378,Inno 7355,A20
50125830490,1733466,AMAZ 7577,A20
50125833669,1733289,UNIV 0114,A20
