Invoice,PO No.,Inv. Date,Total Invoice
50124870885,PO17150354,1/18/2024,"$1,305.70 "
50124871792,PO16758697,1/18/2024,"$4,071.65 "
50124872790,PO17290177,1/18/2024,"$3,998.60 "
50124877039,PO17320517,1/19/2024,$56.34 
50124877041,PO17312053,1/19/2024,$58.64 
50124878492,PO17364890,1/22/2024,$5.04 
50124880591,PO17394279,1/22/2024,"$1,199.25 "
50124881090,PO16935917,1/22/2024,$430.00 
50124882946,PO16992663,1/24/2024,$549.12 
50124882973,PO17254075,1/24/2024,$378.00 
50124884348,PO17352315,1/24/2024,$291.17 
50124889315,PO17237261,1/24/2024,"$1,056.40 "
50124889840,PO17418075,1/24/2024,$600.00 
50124890353,PO17411599,1/25/2024,$210.00 
50124890361,PO17264082,1/25/2024,$959.00 
50124891581,PO17277622,1/24/2024,"$15,378.21 "
50124892660,PO17357053,1/30/2024,$214.20 
50124894333,PO17354433,1/26/2024,"$9,287.26 "
50124894841,PO17391351,1/25/2024,"$1,199.25 "
50124895713,PO17414582,1/29/2024,"$1,200.00 "
50124899222,PO17413608,1/29/2024,$32.82 
50124899252,PO17262777,1/29/2024,"$2,313.20 "
50124903679,PO17390296,1/30/2024,"$2,206.50 "
50124906983,PO17415223,1/31/2024,$704.27 
50124913811,PO17414783,1/31/2024,$311.81 
50124913815,PO17418336,1/31/2024,$887.45 
50124915170,PO17231180,2/2/2024,"$1,720.25 "
50124916266,PO17235657,2/2/2024,$177.50 
50124916271,PO17285717,2/2/2024,$142.00 
50124920733,PO17330506,2/5/2024,$400.70 
50124926227,PO17178088,2/7/2024,$100.61 
50124930567,PO17414635,2/6/2024,$52.40 
50124930573,PO17356830,2/6/2024,$106.88 
50124930578,PO17424659,2/6/2024,$174.51 
50124930581,PO17412040,2/6/2024,$37.00 
50124932268,PO16913937,2/8/2024,"$11,037.42 "
50124932521,PO17366856,2/7/2024,"$2,167.20 "
50124935064,PO17410616,2/7/2024,$250.00 
50124935161,PO17280632,2/8/2024,$500.00 
50124935165,PO17310663,2/8/2024,$250.00 
50124935168,PO17400670,2/8/2024,$250.00 
50124937711,PO17289901,2/9/2024,$298.20 
50124939008,PO17284084,2/8/2024,$424.20 
50124947570,PO17416664,2/13/2024,$183.00 
50124949145,PO17332201,2/14/2024,"$2,103.80 "
50124951821,PO16957767,2/12/2024,"$2,303.00 "
50124957924,PO17360452,2/13/2024,"$1,660.00 "
50124958025,PO17025326,2/13/2024,"$3,841.68 "
50124960460,PO17420195,2/14/2024,$8.00 
50124960465,PO17131087,2/14/2024,"$19,385.56 "
50124960468,PO17252065,2/14/2024,$283.41 
50124960473,PO17445666,2/14/2024,$106.88 
50124968965,PO17367290,2/16/2024,"$2,889.60 "
50124970519,PO17443748,2/20/2024,$107.12 
50124974888,PO16818859,2/20/2024,$237.90 
50124976553,PO17387987,2/20/2024,"$34,288.00 "
50124980914,PO16441568,2/21/2024,"$3,201.40 "
50124983917,PO17261980,2/23/2024,$959.00 
50124984641,PO17332328,2/22/2024,"$2,367.30 "
50124984644,PO17337292,2/22/2024,$360.63 
50124984659,PO17251954,2/22/2024,$378.00 
50124986602,PO17302175,2/22/2024,$352.80 
50124990282,PO16715764,2/23/2024,$422.00 
50124991316,PO17412695,2/23/2024,$768.00 
50124995858,PO17061326,2/26/2024,"$1,232.00 "
50124999155,PO17163032,3/1/2024,$286.76 
50125002425,PO17449999,2/28/2024,"$1,305.00 "
50125005714,PO17031395,3/1/2024,"$11,525.04 "
50125007670,PO17351310,2/29/2024,$108.20 
50125009372,PO17314837,3/1/2024,$507.45 
50125009554,PO17382108,3/1/2024,"$2,463.25 "
50125015451,PO17239141,3/4/2024,"$1,241.15 "
50125023429,PO16711669,3/7/2024,"$1,688.00 "
50125025125,PO17468297,3/7/2024,$40.95 
50125025923,PO17310469,3/6/2024,"$1,210.50 "
50125026985,PO17443467,3/6/2024,$504.36 
50125038394,PO17168958,3/11/2024,"$6,797.00 "
50125040895,PO17442974,3/12/2024,$373.26 
50125040943,PO17460774,3/12/2024,$5.75 
50125043683,PO17456576,3/15/2024,"$242,620.38 "
50125044488,PO16557404,3/13/2024,"$6,024.00 "
50125045246,PO16930038,3/13/2024,"$13,309.69 "
50125055765,PO16956599,3/15/2024,"$2,303.00 "
50125055767,PO17461631,3/15/2024,$336.00 
50125055881,PO17176600,3/15/2024,"$4,406.06 "
50125057321,PO17286746,3/16/2024,$945.70 
50125060856,PO17358462,3/20/2024,$45.18 
50125063800,PO17445065,3/18/2024,"$12,518.14 "
50125064762,PO17362789,3/19/2024,"$5,751.86 "
50125071797,PO17386702,3/20/2024,$947.11 
50125071923,PO17131329,3/23/2024,"$6,784.94 "
50125077428,PO17441749,3/21/2024,"$13,902.13 "
50125078084,PO17460646,3/22/2024,$59.42 
50125078828,PO17331317,3/22/2024,"$21,710.00 "
50125083518,PO17201333,3/23/2024,"$2,535.20 "
50125087582,PO17440895,3/26/2024,"$5,688.65 "
50125088448,PO17427746,3/25/2024,"$1,660.00 "
50125089972,PO17357592,3/26/2024,"$5,511.00 "
50125094046,PO17314111,3/28/2024,$978.18 
50125094050,PO17297766,3/28/2024,"$3,438.50 "
50125094053,PO17298918,3/28/2024,$181.80 
50125094055,PO17389838,3/28/2024,$623.35 
50125099661,PO17171395,3/29/2024,$165.33 
50125099663,PO17331816,3/29/2024,"$1,171.72 "
50125103963,PO17341795,3/29/2024,"$4,486.80 "
50125104025,PO17384176,3/29/2024,$150.00 
50125104027,PO17387360,3/29/2024,$800.00 
50125105633,PO17483098,4/4/2024,$402.44 
50125106410,PO17226143,3/29/2024,$290.29 
50125106542,PO16929152,3/29/2024,"$2,802.04 "
50125106543,PO16939153,3/29/2024,"$2,101.53 "
50125106707,PO17200956,3/29/2024,"$2,735.53 "
50125109427,PO17183978,4/1/2024,"$2,190.00 "
50125110610,PO16936762,4/1/2024,"$4,203.06 "
50125111376,PO17362051,4/1/2024,$204.00 
50125112689,PO17469632,4/2/2024,$21.00 
50125117073,PO17487788,4/3/2024,"$10,450.00 "
50125119225,PO17354660,4/8/2024,$278.98 
50125120665,PO17221466,4/4/2024,"$3,465.00 "
50125123479,PO17392146,4/4/2024,"$1,350.00 "
50125124023,PO17300265,4/5/2024,$352.80 
50125124069,PO17423958,4/5/2024,$9.50 
50125126048,PO17477121,4/8/2024,$7.97 
50125126817,PO17430304,4/5/2024,"$47,782.50 "
50125128471,PO17444814,4/8/2024,"$3,933.53 "
50125128707,PO17394717,4/8/2024,$300.00 
50125130423,PO17434775,4/8/2024,$106.00 
50125132861,PO17485111,4/9/2024,"$18,810.00 "
50125138783,PO17486782,4/10/2024,$90.00 
50125139380,PO17308367,4/10/2024,$479.50 
50125140309,PO17443774,4/11/2024,"$1,675.26 "
50125150709,PO17410993,4/16/2024,$226.00 
50125151122,PO17259678,4/15/2024,"$6,110.16 "
50125151123,PO17268167,4/15/2024,$402.00 
50125151124,PO17259083,4/15/2024,"$3,818.85 "
50125153528,PO17355621,4/17/2024,$908.00 
50125153894,PO17430940,4/16/2024,$255.00 
50125153898,PO17415624,4/16/2024,$106.00 
50125153901,PO16927112,4/16/2024,"$4,903.57 "
50125154348,PO17329113,4/15/2024,$0.44 
50125154440,PO17353117,4/15/2024,"$1,942.30 "
50125162159,PO17458707,4/23/2024,$189.00 
50125163733,PO17487946,4/18/2024,"$51,256.80 "
50125165132,PO17517142,4/18/2024,"$2,428.20 "
50125165134,PO17517143,4/18/2024,"$1,789.20 "
50125165803,PO17374059,4/19/2024,$306.80 
50125165846,PO17517139,4/19/2024,"$2,428.20 "
50125165848,PO17517141,4/19/2024,"$1,661.40 "
50125166276,PO17277160,4/24/2024,"$1,053.25 "
50125166283,PO17297975,4/18/2024,$674.60 
50125166529,PO17517140,4/18/2024,"$2,044.80 "
50125169539,PO17485356,4/19/2024,$81.50 
50125169933,PO17508887,4/19/2024,"$1,106.33 "
50125171181,PO17311990,4/20/2024,$843.92 
50125173740,PO17457862,4/26/2024,"$2,355.36 "
50125174494,PO17495074,4/22/2024,$231.96 
50125175835,PO17237078,4/22/2024,"$1,241.15 "
50125177195,PO17296120,4/24/2024,$876.98 
50125177197,PO17298945,4/24/2024,$181.80 
50125180263,PO17410527,4/23/2024,$75.35 
50125180502,PO17464126,4/23/2024,$43.05 
50125183829,PO17519513,4/24/2024,"$6,773.40 "
50125184600,PO17291715,4/25/2024,$404.76 
50125185101,PO17296121,4/25/2024,$674.60 
50125185103,PO17368834,4/25/2024,$0.35 
50125188339,PO17482991,4/26/2024,$2.97 
50125193959,PO17475005,4/26/2024,"$7,065.21 "
50125198525,PO17268833,5/7/2024,$120.60 
50125200681,PO17435224,5/6/2024,"$1,315.75 "
50125200687,PO17431241,5/6/2024,"$81,784.25 "
50125208479,PO17421318,5/2/2024,$498.00 
50125208488,PO17522305,5/2/2024,$58.79 
50125211127,PO17514464,5/3/2024,$203.40 
50125211138,PO17487013,5/3/2024,$326.00 
50125211722,PO17330822,5/6/2024,$601.05 
50125211724,PO17360824,5/6/2024,$200.35 
50125211740,PO17304020,5/6/2024,$352.80 
50125211745,PO17394022,5/6/2024,"$2,100.00 "
50125213313,PO16634163,5/3/2024,"$54,215.50 "
50125213755,PO17258318,5/7/2024,"$3,818.85 "
50125224149,PO17413207,5/11/2024,$379.00 
50125226891,PO17234868,5/8/2024,$20.90 
50125227599,PO17271345,5/9/2024,$528.00 
50125227640,PO17201506,5/9/2024,"$3,884.60 "
50125227641,PO17365528,5/9/2024,"$1,083.30 "
50125241526,PO17365978,5/13/2024,"$1,289.21 "
50125241933,PO17516628,5/13/2024,$474.60 
50125242023,PO17317110,5/13/2024,$95.90 
50125243434,PO17467627,5/13/2024,$615.00 
50125246882,PO17403898,5/14/2024,"$3,087.12 "
50125246893,PO17407622,5/14/2024,$763.00 
50125248163,PO17200372,5/14/2024,$133.98 
50125250292,PO16997107,5/15/2024,$748.80 
50125255873,PO17260711,5/16/2024,$40.20 
50125255903,PO17445984,5/16/2024,"$1,487.55 "
50125271423,PO17111692,5/22/2024,$750.00 
50125271426,PO17261793,5/22/2024,$30.00 
50125271916,PO17141708,5/22/2024,"$6,060.00 "
50125275117,PO17454051,5/23/2024,$189.00 
50125285471,PO17520690,6/3/2024,"$4,731.80 "
50125285490,PO17327164,6/3/2024,"$2,184.33 "
50125290194,PO17554747,6/3/2024,$1.59 
50125293520,PO17413205,6/12/2024,$0.56 
50125293522,PO17479737,6/12/2024,$98.91 
50125294287,PO17349181,5/29/2024,"$1,495.60 "
50125297042,PO17456110,6/5/2024,"$2,267.20 "
50125299030,PO17438937,5/31/2024,"$27,700.00 "
50125299035,PO17432661,5/31/2024,"$83,100.00 "
50125306129,PO17398232,6/4/2024,$712.20 
50125307554,PO17431219,6/7/2024,"$7,548.25 "
50125307563,PO17431947,6/7/2024,"$34,001.75 "
50125308957,PO17521451,6/3/2024,"$3,338.90 "
50125309022,PO17446550,6/3/2024,"$2,976.75 "
50125309148,PO17337000,6/3/2024,"$1,698.29 "
50125309726,PO17531043,6/3/2024,$5.04 
50125311421,PO17522408,6/4/2024,"$2,758.00 "
50125311557,PO17415813,6/4/2024,$260.01 
50125312137,PO17434031,6/6/2024,"$27,700.00 "
50125312645,PO17563360,6/4/2024,"$2,859.60 "
50125315940,PO16994159,6/6/2024,$549.12 
50125317170,PO17512614,6/10/2024,"$3,933.53 "
50125318467,PO17356254,6/5/2024,"$1,055.34 "
50125321598,PO17516991,6/10/2024,$81.25 
50125324685,PO17417882,6/10/2024,$257.67 
50125324686,PO17516673,6/10/2024,$651.00 
50125325828,PO17280077,6/7/2024,"$1,784.00 "
50125326738,PO17515338,6/15/2024,$121.87 
50125330192,PO17518017,6/11/2024,$513.64 
50125337347,PO16850330,6/12/2024,$16.00 
50125337828,PO17428295,6/12/2024,"$3,690.00 "
50125346921,PO17331819,6/14/2024,"$2,625.00 "
50125347601,PO17292061,6/17/2024,$252.60 
50125347602,PO17422167,6/17/2024,"$1,682.50 "
50125347605,PO17378516,6/17/2024,$500.00 
50125347709,PO17355198,6/17/2024,"$2,742.84 "
50125349550,PO17579862,6/18/2024,$50.00 
50125350005,PO17355200,6/17/2024,$914.28 
50125351059,PO17577997,6/17/2024,$58.33 
50125351475,PO17260722,6/17/2024,$160.80 
50125353275,PO17261298,6/20/2024,$40.20 
50125354802,PO17032165,6/18/2024,"$81,325.83 "
50125355717,PO17522984,6/20/2024,$846.00 
50125356391,PO17436081,6/18/2024,$5.88 
50125356462,PO17351163,6/18/2024,"$2,494.56 "
50125356466,PO17355305,6/18/2024,"$3,818.85 "
50125358933,PO17547976,6/19/2024,"$2,458.60 "
50125360526,PO17511594,6/21/2024,$933.15 
50125361567,PO17389138,6/21/2024,$550.00 
50125362224,PO17521828,6/20/2024,"$9,556.58 "
50125363709,PO17337737,6/21/2024,"$11,940.50 "
50125363713,PO17585794,6/21/2024,"$4,151.25 "
50125363732,PO17523862,6/21/2024,$127.00 
50125364510,PO17454908,6/22/2024,$189.00 
50125366159,PO17446376,6/24/2024,"$1,190.04 "
50125370723,PO17589636,6/24/2024,$3.44 
50125372408,PO17276528,6/25/2024,$396.00 
50125375115,PO17432384,7/1/2024,$421.50 
50125375117,PO17572398,7/1/2024,"$2,696.00 "
50125375677,PO17510422,6/25/2024,$121.87 
50125377828,PO17491658,6/25/2024,$944.80 
50125378308,PO17437273,6/25/2024,$527.00 
50125378309,PO17481214,6/25/2024,$636.00 
50125379560,PO17412147,6/26/2024,$375.00 
50125379563,PO17442396,6/26/2024,$832.86 
50125379631,PO17333826,6/26/2024,"$24,966.50 "
50125380405,PO17432069,6/26/2024,"$74,790.00 "
50125381863,PO17361937,6/26/2024,"$1,053.25 "
50125381864,PO17375814,6/26/2024,$479.50 
50125385495,PO17576228,6/27/2024,$317.50 
50125388773,PO17591112,7/1/2024,$892.55 
50125389512,PO17364922,6/28/2024,"$5,856.00 "
50125390450,PO17556224,6/28/2024,"$1,143.00 "
50125390452,PO17576229,6/28/2024,"$1,047.75 "
50125392037,PO17468108,7/3/2024,$402.00 
50125395155,PO17450180,7/2/2024,$221.52 
50125395685,PO17512767,7/2/2024,$6.25 
50125395687,PO17402785,7/2/2024,"$6,804.00 "
50125398895,PO17431585,7/1/2024,$71.04 
50125398896,PO17419256,7/1/2024,$382.50 
50125399149,PO17469980,7/1/2024,"$12,497.00 "
50125400006,PO17456695,7/2/2024,"$3,537.25 "
50125401246,PO17584234,7/3/2024,"$13,615.80 "
50125402228,PO17452645,7/3/2024,$48.28 
50125403700,PO17357089,7/3/2024,"$1,542.60 "
50125407400,PO17591212,7/8/2024,$5.05 
50125407987,PO17383833,7/10/2024,"$23,368.80 "
50125411292,PO17514743,7/9/2024,"$8,994.80 "
50125411299,PO17415727,7/9/2024,$1.88 
50125412823,PO17526898,7/9/2024,$36.50 
50125417862,PO17508691,7/10/2024,$860.38 
50125417865,PO17498719,7/10/2024,$860.38 
50125417868,PO17448826,7/10/2024,$44.00 
50125418564,PO17571947,7/11/2024,"$10,635.56 "
50125419365,PO17503057,7/11/2024,$721.63 
50125419369,PO17453489,7/11/2024,$877.00 
50125420288,PO17341558,7/11/2024,"$12,712.60 "
50125428854,PO17619969,7/15/2024,$58.22 
50125429766,PO17514727,8/1/2024,"$2,248.70 "
50125430623,PO17358619,7/17/2024,"$4,720.50 "
50125430663,PO17614460,7/17/2024,$0.84 
50125431571,PO17494677,7/15/2024,"$1,084.00 "
50125431639,PO17597129,7/15/2024,$536.90 
50125433245,PO17372878,7/15/2024,"$89,000.00 "
50125435316,PO17561297,7/16/2024,"$93,475.00 "
50125437884,PO17456341,7/18/2024,$271.50 
50125438213,PO17518845,7/19/2024,"$1,027.28 "
50125443070,PO17591675,7/19/2024,$695.18 
50125444473,PO17456533,7/19/2024,$250.00 
50125446565,PO17386357,7/19/2024,$532.20 
50125447821,PO17526613,7/19/2024,$356.10 
50125447825,PO17527851,7/19/2024,"$1,780.50 "
50125447927,PO17488016,7/19/2024,$457.14 
50125447929,PO17378408,7/19/2024,$51.60 
50125451230,PO17595656,7/23/2024,"$1,100.68 "
50125453696,PO17456984,7/25/2024,$955.00 
50125453828,PO17619233,7/22/2024,$5.76 
50125454617,PO16970188,7/22/2024,"$1,797.06 "
50125455688,PO17516858,7/23/2024,"$1,191.50 "
50125457831,PO17486853,7/23/2024,"$1,018.15 "
50125460319,PO17458949,7/24/2024,$189.00 
50125460333,PO17536579,7/24/2024,"$5,598.20 "
50125460971,PO17491099,7/24/2024,"$1,084.00 "
50125461092,PO17589246,7/24/2024,"$2,842.00 "
50125461237,PO17442710,7/25/2024,$495.75 
50125462654,PO17331187,7/27/2024,"$26,052.00 "
50125462825,PO17529379,7/25/2024,"$66,038.00 "
50125462912,PO17626925,7/26/2024,$37.30 
50125465679,PO17565866,7/26/2024,"$2,913.18 "
50125466091,PO17491331,7/27/2024,"$1,749.00 "
50125468495,PO17532375,7/26/2024,"$5,151.84 "
50125468832,PO17491992,7/26/2024,"$26,827.50 "
50125471636,PO16953504,7/29/2024,"$1,396.50 "
50125471639,PO17013505,7/29/2024,"$2,256.80 "
50125472600,PO17492347,7/29/2024,"$3,347.94 "
50125472970,PO17506566,8/1/2024,"$21,854.18 "
50125473313,PO17629934,7/29/2024,$35.95 
50125473683,PO17610840,7/31/2024,"$3,560.96 "
50125474244,PO17576492,7/30/2024,$31.60 
50125474744,PO17359893,8/2/2024,"$1,278.00 "
50125477050,PO17629788,7/31/2024,"$3,524.24 "
50125482199,PO17620000,8/6/2024,$37.98 
50125484428,PO17526721,8/1/2024,"$5,299.25 "
50125484748,PO17626646,8/1/2024,$221.20 
50125486048,PO17629780,8/7/2024,$205.62 
50125487161,PO17543301,8/2/2024,"$5,491.00 "
50125488479,PO17596784,8/2/2024,"$1,051.20 "
50125488874,PO17595062,8/2/2024,$27.75 
50125491621,PO17623994,8/8/2024,$2.75 
50125492822,PO17620965,8/5/2024,$129.40 
50125495501,PO17303767,8/6/2024,$352.80 
50125497753,PO17521474,8/8/2024,"$134,740.80 "
50125497938,PO17457972,8/6/2024,"$3,252.64 "
50125498533,PO17545756,8/8/2024,"$5,933.60 "
50125498635,PO17337320,8/8/2024,"$26,464.68 "
50125501974,PO17449656,8/7/2024,$182.07 
50125502828,PO17389906,8/7/2024,$18.60 
50125503424,PO17603338,8/7/2024,"$15,199.00 "
50125504569,PO17536459,8/8/2024,"$31,864.32 "
50125505369,PO17546862,8/8/2024,"$8,900.40 "
50125508824,PO17150654,8/9/2024,"$27,552.00 "
50125509994,PO17637222,8/9/2024,$281.20 
50125517113,PO17475641,8/14/2024,"$1,083.30 "
50125517115,PO17517160,8/14/2024,"$4,265.76 "
50125517117,PO17028737,8/14/2024,"$1,280.56 "
50125517120,PO17029533,8/14/2024,"$15,686.86 "
50125517123,PO17029585,8/14/2024,"$4,481.96 "
50125517126,PO17030671,8/14/2024,"$12,165.32 "
50125519817,PO17413370,8/14/2024,$250.00 
50125523491,PO17561307,8/13/2024,"$3,799.80 "
50125523493,PO17611317,8/13/2024,"$3,546.48 "
50125524973,PO17429251,8/14/2024,$458.72 
50125524977,PO17039586,8/14/2024,$640.28 
50125527347,PO17424444,8/15/2024,"$2,006.90 "
50125527443,PO17574781,8/15/2024,$379.20 
50125531649,PO17637374,8/19/2024,"$1,330.00 "
50125534610,PO17620891,8/16/2024,$602.53 
50125537556,PO17033016,8/20/2024,"$2,240.98 "
50125537602,PO17615784,8/20/2024,$37.65 
50125538254,PO17651474,8/21/2024,$289.08 
50125540455,PO17576269,8/20/2024,$803.80 
50125550589,PO17559871,8/22/2024,$365.00 
50125551111,PO17459025,8/23/2024,$189.00 
50125551587,PO17475121,8/23/2024,"$1,083.30 "
50125553039,PO17254978,8/23/2024,"$7,764.00 "
50125554778,PO17591930,8/24/2024,$326.00 
50125555844,PO17565274,8/23/2024,$810.03 
50125555847,PO17491153,8/23/2024,"$2,449.20 "
50125555848,PO17291428,8/23/2024,"$1,440.00 "
50125557626,PO17451555,8/27/2024,"$3,091.20 "
50125559889,PO17437651,9/5/2024,"$68,358.06 "
50125563027,PO17542360,8/28/2024,"$3,217.09 "
50125563548,PO17652585,8/28/2024,$625.92 
50125563590,PO16577507,9/4/2024,"$31,893.34 "
50125565066,PO17548373,8/27/2024,"$12,845.00 "
50125565069,PO17541871,8/27/2024,"$9,724.30 "
50125565764,PO17647357,8/27/2024,$53.10 
50125566429,PO17573012,8/28/2024,"$17,690.38 "
50125567305,PO17617782,8/27/2024,$452.25 
50125573379,PO17446937,8/30/2024,"$1,055.34 "
50125573385,PO17020671,8/30/2024,"$1,600.70 "
50125573387,PO17030672,8/30/2024,"$2,240.98 "
50125574062,PO17522796,8/29/2024,"$1,582.60 "
50125577262,PO17396103,8/30/2024,$70.00 
50125577264,PO17426104,8/30/2024,"$1,376.16 "
50125577393,PO17548164,8/30/2024,"$96,587.15 "
50125578452,PO17679638,9/4/2024,$3.76 
50125578511,PO17387649,9/6/2024,"$13,887.00 "
50125578544,PO17643859,9/6/2024,$210.00 
50125581748,PO17571264,9/4/2024,"$17,690.38 "
50125582591,PO17651083,9/3/2024,"$1,238.81 "
50125587314,PO17637953,9/4/2024,"$8,459.18 "
50125589147,PO17610703,9/4/2024,"$1,673.45 "
50125590460,PO17337647,9/5/2024,"$15,739.75 "
50125590462,PO17438263,9/5/2024,"$6,431.94 "
50125590463,PO17338760,9/5/2024,"$10,312.25 "
50125590464,PO17388762,9/5/2024,"$9,258.00 "
50125590484,PO17366859,9/5/2024,$311.80 
50125595307,PO17415186,9/6/2024,$260.00 
50125595663,PO17178864,9/6/2024,"$133,647.42 "
50125597154,PO16689681,9/10/2024,"$7,416.09 "
50125597158,PO17660180,9/10/2024,"$6,139.80 "
50125601967,PO17677232,9/11/2024,"$32,202.00 "
50125603090,PO17671238,9/11/2024,$625.92 
50125606923,PO17587358,9/11/2024,"$6,509.93 "
50125607244,PO17572751,9/12/2024,$748.80 
50125611229,PO17463487,9/13/2024,"$4,372.08 "
50125611352,PO17596906,9/12/2024,$91.80 
50125612333,PO17541148,9/12/2024,$877.70 
50125612335,PO17541149,9/12/2024,$877.70 
50125613338,PO17571002,9/12/2024,"$2,897.91 "
50125616814,PO16635929,9/13/2024,"$48,607.00 "
50125617225,PO17367082,9/13/2024,"$23,256.60 "
50125620825,PO17633037,9/17/2024,$136.00 
50125621369,PO17570089,9/17/2024,"$29,629.50 "
50125622758,PO17600618,9/18/2024,"$3,996.50 "
50125623431,PO17618345,9/25/2024,"$5,831.00 "
50125623508,PO17587090,9/25/2024,$407.00 
50125623547,PO17548306,9/25/2024,$21.44 
50125625481,PO17362401,9/16/2024,"$11,628.30 "
50125627053,PO17512381,9/19/2024,$305.88 
50125627944,PO17541742,9/17/2024,$438.85 
50125629753,PO17485782,9/23/2024,"$7,495.92 "
50125630237,PO17685057,9/18/2024,$6.48 
50125630992,PO17507854,9/24/2024,$231.92 
50125631655,PO17620949,9/19/2024,"$21,887.87 "
50125634166,PO17647793,9/20/2024,"$76,434.00 "
50125634170,PO17517794,9/20/2024,"$38,154.60 "
50125636700,PO17520208,9/19/2024,"$145,969.20 "
50125637248,PO17522509,9/19/2024,"$63,627.60 "
50125639279,PO17459486,9/23/2024,$303.18 
50125639578,PO17539902,9/20/2024,"$1,864.60 "
50125640171,PO17593884,9/23/2024,"$1,050.00 "
50125643426,PO17453758,9/24/2024,$189.00 
50125643705,PO17575514,9/24/2024,"$3,601.50 "
50125643849,PO17635663,9/23/2024,$330.00 
50125644359,PO17506316,9/24/2024,$601.05 
50125644361,PO17505104,9/24/2024,$601.05 
50125645082,PO16912904,9/25/2024,"$1,772.71 "
50125645212,PO17595532,9/25/2024,"$35,163.00 "
50125647150,PO17426135,9/27/2024,"$1,543.35 "
50125648351,PO17690328,9/24/2024,$80.58 
50125649496,PO17559788,9/24/2024,$18.00 
50125652412,PO17521560,9/30/2024,"$2,800.00 "
50125652423,PO17700606,9/30/2024,$52.14 
50125652425,PO17272044,9/30/2024,"$9,772.50 "
50125652428,PO17642002,9/30/2024,$78.00 
50125652845,PO17522852,9/25/2024,"$26,192.51 "
50125653637,PO17522355,9/26/2024,"$1,671.12 "
50125654033,PO17712041,10/9/2024,"$3,479.40 "
50125654576,PO17380515,9/25/2024,"$23,368.80 "
50125655956,PO17540696,9/26/2024,"$115,203.44 "
50125655957,PO16377837,9/26/2024,"$33,923.29 "
50125657661,PO17411421,9/27/2024,$605.50 
50125658041,PO17549996,9/27/2024,"$1,218.00 "
50125658404,PO17449713,9/26/2024,$665.00 
50125659893,PO17296047,9/27/2024,$604.34 
50125660974,PO17236037,9/28/2024,$34.10 
50125660975,PO17594010,9/28/2024,$384.00 
50125661699,PO17494302,9/28/2024,"$2,887.50 "
50125665573,PO17180280,10/1/2024,$101.08 
50125665636,PO17338549,10/1/2024,"$19,539.00 "
50125667668,PO16637333,10/2/2024,"$24,303.50 "
50125667758,PO17514038,10/2/2024,"$24,655.15 "
50125670027,PO17450354,9/30/2024,$79.75 
50125674843,PO17699678,10/2/2024,"$1,069.15 "
50125675038,PO17613440,10/3/2024,"$95,768.00 "
50125675336,PO17303079,10/3/2024,$352.80 
50125676813,PO17619700,10/2/2024,"$4,955.50 "
50125678574,PO17546320,10/3/2024,"$3,282.00 "
50125679676,PO17414123,10/4/2024,$241.20 
50125681251,PO17663178,10/4/2024,"$1,250.29 "
50125681253,PO17563526,10/4/2024,$928.00 
